event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_rounding_issue,code_issue_dot,code
Angina pectoris,ICD10DA,Stable angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8E,I208E,I20.8E
Angina pectoris,ICD10DA,Unstable angina,"","",narrow,C,ANGINA,AESI,I20.0,I200,I20.0
Angina pectoris,ICD10DA,Unstable angina pectoris with documented ischemia,"","",narrow,C,ANGINA,AESI,I20.0C,I200C,I20.0C
Angina pectoris,ICD9CM,Angina decubitus conve,"","",narrow,C,ANGINA,AESI,413.0,413.0,413.0
Angina pectoris,ICD9CM,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,413,413,413
Angina pectoris,ICD9CM,Other and unspecified,"","",narrow,C,ANGINA,AESI,413.9,413.9,413.9
Angina pectoris,ICD9CM,Prinzmetal angina conv,"","",narrow,C,ANGINA,AESI,413.1,413.1,413.1
Angina pectoris,MEDCODEID,Angina,"","",narrow,C,ANGINA,AESI,4775971000006114,4775971000006114,4775971000006114
Angina pectoris,MEDCODEID,Angina associated with type 2 diabetes mellitus,"","",narrow,C,ANGINA,AESI,7966931000006114,7966931000006114,7966931000006114
Angina pectoris,MEDCODEID,Angina at rest,"","",narrow,C,ANGINA,AESI,482811000006113,482811000006113,482811000006113
Angina pectoris,MEDCODEID,Angina at rest,"","",narrow,C,ANGINA,AESI,498328016,498328016,498328016
Angina pectoris,MEDCODEID,Angina decubitus,"","",narrow,C,ANGINA,AESI,98087016,98087016,98087016
Angina pectoris,MEDCODEID,Angina decubitus NOS,"","",narrow,C,ANGINA,AESI,299763015,299763015,299763015
Angina pectoris,MEDCODEID,Angina grading (canadian cardiovascular society),"","",possible,C,ANGINA,AESI,482911000006118,482911000006118,482911000006118
Angina pectoris,MEDCODEID,Angina of effort,"","",narrow,C,ANGINA,AESI,5887641000006118,5887641000006118,5887641000006118
Angina pectoris,MEDCODEID,Angina on effort,"","",narrow,C,ANGINA,AESI,442204010,442204010,442204010
Angina pectoris,MEDCODEID,Angina pectoris,"","",narrow,C,ANGINA,AESI,299757012,299757012,299757012
Angina pectoris,MEDCODEID,Angina pectoris NOS,"","",narrow,C,ANGINA,AESI,299765010,299765010,299765010
Angina pectoris,MEDCODEID,Angina pectoris NOS,"","",narrow,C,ANGINA,AESI,482941000006119,482941000006119,482941000006119
Angina pectoris,MEDCODEID,Angina- class I,"","",narrow,C,ANGINA,AESI,3499001000006116,3499001000006116,3499001000006116
Angina pectoris,MEDCODEID,Angina- class II,"","",narrow,C,ANGINA,AESI,3166141000006114,3166141000006114,3166141000006114
Angina pectoris,MEDCODEID,Angina- class III,"","",narrow,C,ANGINA,AESI,3886751000006118,3886751000006118,3886751000006118
Angina pectoris,MEDCODEID,Anginal chest pain at rest,"","",narrow,C,ANGINA,AESI,3458791000006114,3458791000006114,3458791000006114
Angina pectoris,MEDCODEID,Anginal pain,"","",narrow,C,ANGINA,AESI,960181000006111,960181000006111,960181000006111
Angina pectoris,MEDCODEID,Anginal syndrome,"","",narrow,C,ANGINA,AESI,4776001000006111,4776001000006111,4776001000006111
Angina pectoris,MEDCODEID,Atypical angina,"","",narrow,C,ANGINA,AESI,6360391000006118,6360391000006118,6360391000006118
Angina pectoris,MEDCODEID,Cardiac angina,"","",narrow,C,ANGINA,AESI,4775981000006112,4775981000006112,4775981000006112
Angina pectoris,MEDCODEID,Coronary artery spasm angina,"","",narrow,C,ANGINA,AESI,3920021000006112,3920021000006112,3920021000006112
Angina pectoris,MEDCODEID,Crescendo angina,"","",narrow,C,ANGINA,AESI,7847015,7847015,7847015
Angina pectoris,MEDCODEID,Exercise-induced angina,"","",narrow,C,ANGINA,AESI,5887611000006117,5887611000006117,5887611000006117
Angina pectoris,MEDCODEID,Exertional angina,"","",narrow,C,ANGINA,AESI,5887631000006111,5887631000006111,5887631000006111
Angina pectoris,MEDCODEID,Frequency of angina,"","",possible,C,ANGINA,AESI,1752201000000116,1752201000000116,1752201000000116
Angina pectoris,MEDCODEID,Ischaemic heart disease - angina,"","",narrow,C,ANGINA,AESI,4776031000006115,4776031000006115,4776031000006115
Angina pectoris,MEDCODEID,Ludwig-s angina,"","",narrow,C,ANGINA,AESI,302275011,302275011,302275011
Angina pectoris,MEDCODEID,New onset angina,"","",narrow,C,ANGINA,AESI,350350014,350350014,350350014
Angina pectoris,MEDCODEID,Nocturnal angina,"","",narrow,C,ANGINA,AESI,59952018,59952018,59952018
Angina pectoris,MEDCODEID,Possible angina,"","",narrow,C,ANGINA,AESI,856451000006113,856451000006113,856451000006113
Angina pectoris,MEDCODEID,Post infarct angina,"","",narrow,C,ANGINA,AESI,458410010,458410010,458410010
Angina pectoris,MEDCODEID,Prinzmetal angina,"","",narrow,C,ANGINA,AESI,3919991000006112,3919991000006112,3919991000006112
Angina pectoris,MEDCODEID,Prinzmetal-s angina,"","",narrow,C,ANGINA,AESI,1235225010,1235225010,1235225010
Angina pectoris,MEDCODEID,Progressive angina,"","",narrow,C,ANGINA,AESI,12276271000006112,12276271000006112,12276271000006112
Angina pectoris,MEDCODEID,Recurrent angina after coronary artery bypass graft,"","",narrow,C,ANGINA,AESI,6360441000006119,6360441000006119,6360441000006119
Angina pectoris,MEDCODEID,Recurrent angina after coronary stent placement,"","",narrow,C,ANGINA,AESI,6360421000006114,6360421000006114,6360421000006114
Angina pectoris,MEDCODEID,Recurrent angina after percutaneous transluminal coronary angioplasty,"","",narrow,C,ANGINA,AESI,6360401000006116,6360401000006116,6360401000006116
Angina pectoris,MEDCODEID,Refractory angina,"","",narrow,C,ANGINA,AESI,459487012,459487012,459487012
Angina pectoris,MEDCODEID,Stable angina,"","",narrow,C,ANGINA,AESI,350348018,350348018,350348018
Angina pectoris,MEDCODEID,Typical angina,"","",narrow,C,ANGINA,AESI,7105241000006116,7105241000006116,7105241000006116
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,72571000006115,72571000006115,72571000006115
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,7845011,7845011,7845011
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,854491000006113,854491000006113,854491000006113
Angina pectoris,MEDCODEID,Unstable angina co-occurrent and due to coronary arteriosclerosis,"","",narrow,C,ANGINA,AESI,9868461000006110,9868461000006110,9868461000006110
Angina pectoris,MEDCODEID,Variant angina,"","",narrow,C,ANGINA,AESI,3920011000006116,3920011000006116,3920011000006116
Angina pectoris,MEDCODEID,Variant angina pectoris,"","",narrow,C,ANGINA,AESI,144819018,144819018,144819018
Angina pectoris,MEDCODEID,Variant angina pectoris,"","",narrow,C,ANGINA,AESI,3920001000006119,3920001000006119,3920001000006119
Angina pectoris,MEDCODEID,Worsening angina,"","",narrow,C,ANGINA,AESI,494261017,494261017,494261017
Angina pectoris,MEDCODEID,[RFC] Angina,"","",narrow,C,ANGINA,AESI,905381000006117,905381000006117,905381000006117
Angina pectoris,MEDCODEID,[X]Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,300874013,300874013,300874013
Angina pectoris,SCTSPA,angina cordis,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,17828002,17828002,17828002
Angina pectoris,SCTSPA,angina de pecho,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194828000,194828000,194828000
Angina pectoris,SCTSPA,angina de pecho,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,367416001,367416001,367416001
Angina pectoris,SCTSPA,angina de pecho- SAI,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194830003,194830003,194830003
Angina pectoris,SCTSPA,angina de pecho- SAI,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194839002,194839002,194839002
Angina pectoris,SCTSPA,dolor torácico isquémico,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,225566008,225566008,225566008
Angina pectoris,SCTSPA,estenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194832006,194832006,194832006
Angina pectoris,SNOMEDCT_US,Angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,155307004,155307004,155307004
Angina pectoris,SNOMEDCT_US,Angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,17828002,17828002,17828002
Angina pectoris,SNOMEDCT_US,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194828000,194828000,194828000
Angina pectoris,SNOMEDCT_US,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194830003,194830003,194830003
Angina pectoris,SNOMEDCT_US,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194839002,194839002,194839002
Angina pectoris,SNOMEDCT_US,Angina- NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,367416001,367416001,367416001
Angina pectoris,SNOMEDCT_US,Ischaemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194835008,194835008,194835008
Angina pectoris,SNOMEDCT_US,Ischemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,225566008,225566008,225566008
Angina pectoris,SNOMEDCT_US,Stenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194832006,194832006,194832006
Heart failure including chronic HF,Free_text,"","","",narrow,C,HF,COV,HF_narrow,HF_narrow,HF_narrow
Heart failure including chronic HF,Free_text,"","","",possible,C,HF,COV,HF_broad,HF_broad,HF_broad
Heart failure including chronic HF,ICD10,Cardiomegaly,"","",possible,C,HF,COV,I51.7,I51.7,I51.7
Heart failure including chronic HF,ICD10,Cardiomyopathy due to drugs and other external agents,"","",narrow,C,HF,COV,I42.7,I42.7,I42.7
Heart failure including chronic HF,ICD10,Congestive heart failure,"","",narrow,C,HF,COV,I50.0,I50.0,I50.0
Heart failure including chronic HF,ICD10,Dilated cardiomyopathy,"","",narrow,C,HF,COV,I42.0,I42.0,I42.0
Heart failure including chronic HF,ICD10,Heart failure,"","",narrow,C,HF,COV,I50,I50,I50
Heart failure including chronic HF,ICD10,Heart failure- unspecified,"","",narrow,C,HF,COV,I50.9,I50.9,I50.9
Heart failure including chronic HF,ICD10,Hypertensive heart and renal disease with (congestive) heart failure,"","",narrow,C,HF,COV,I13.0,I13.0,I13.0
Heart failure including chronic HF,ICD10,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,"","",narrow,C,HF,COV,I13.2,I13.2,I13.2
Heart failure including chronic HF,ICD10,Hypertensive heart disease with (congestive) heart failure,"","",narrow,C,HF,COV,I11.0,I11.0,I11.0
Heart failure including chronic HF,ICD10,Left ventricular failure,"","",narrow,C,HF,COV,I50.1,I50.1,I50.1
Heart failure including chronic HF,ICD10,Pulmonary oedema,"","",possible,C,HF,COV,J81,J81,J81
Heart failure including chronic HF,ICD10,Rheumatic heart disease- unspecified (rheumatic carditis- rheumatic heart failure),"","",narrow,C,HF,COV,I09.9,I09.9,I09.9
Heart failure including chronic HF,ICD10CM,Acute combined systolic (congestive) and diastolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.41,I50.41,I50.41
Heart failure including chronic HF,ICD10CM,Acute diastolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.31,I50.31,I50.31
Heart failure including chronic HF,ICD10CM,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.43,I50.43,I50.43
Heart failure including chronic HF,ICD10CM,Acute on chronic diastolic (congestive) heart failure,C2732749,Acute on chronic diastolic heart failure,narrow,C,HF,COV,I50.33,I50.33,I50.33
Heart failure including chronic HF,ICD10CM,Acute on chronic systolic (congestive) heart failure,C2733492,Acute on chronic systolic heart failure,narrow,C,HF,COV,I50.23,I50.23,I50.23
Heart failure including chronic HF,ICD10CM,Acute pulmonary edema,C0155919,Acute pulmonary edema,possible,C,HF,COV,J81.0,J81.0,J81.0
Heart failure including chronic HF,ICD10CM,Acute systolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.21,I50.21,I50.21
Heart failure including chronic HF,ICD10CM,Biventricular heart failure,C0685095,Biventricular congestive heart failure,narrow,C,HF,COV,I50.82,I50.82,I50.82
Heart failure including chronic HF,ICD10CM,Cardiac asthma,C1956414,Cardiac asthma,narrow,C,HF,COV,I50.1,I50.1,I50.1
Heart failure including chronic HF,ICD10CM,Cardiac tamponade,C0007177,Cardiac Tamponade,possible,C,HF,COV,I31.4,I31.4,I31.4
Heart failure including chronic HF,ICD10CM,Cardiomegaly,"","",possible,C,HF,COV,I51.7,I51.7,I51.7
Heart failure including chronic HF,ICD10CM,Cardiorespiratory failure,C1444565,Cardiorespiratory failure,narrow,C,HF,COV,R09.2,R09.2,R09.2
Heart failure including chronic HF,ICD10CM,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.42,I50.42,I50.42
Heart failure including chronic HF,ICD10CM,Chronic diastolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.32,I50.32,I50.32
Heart failure including chronic HF,ICD10CM,Chronic right heart failure,"","",narrow,C,HF,COV,I50.812,I50.812,I50.812
Heart failure including chronic HF,ICD10CM,Chronic systolic (congestive) heart failure,"","",narrow,C,HF,COV,I50.22,I50.22,I50.22
Heart failure including chronic HF,ICD10CM,Combined systolic and diastolic (congestive) hrt fail,C2882272,Combined systolic (congestive) and diastolic (congestive) heart failure,narrow,C,HF,COV,I50.4,I50.4,I50.4
Heart failure including chronic HF,ICD10CM,Diastolic (congestive) heart failure,C2183328,Diastolic (congestive) heart failure,narrow,C,HF,COV,I50.3,I50.3,I50.3
Heart failure including chronic HF,ICD10CM,End stage heart failure,"","",narrow,C,HF,COV,I50.814,I50.814,I50.814
Heart failure including chronic HF,ICD10CM,Heart failure,C0018801,Heart failure,narrow,C,HF,COV,I50,I50,I50
Heart failure including chronic HF,ICD10CM,Heart failure- unspecified,C0018801,Heart failure,narrow,C,HF,COV,I50.9,I50.9,I50.9
Heart failure including chronic HF,ICD10CM,High output heart failure,"","",narrow,C,HF,COV,I50.813,I50.813,I50.813
Heart failure including chronic HF,ICD10CM,Hypertensive heart and renal disease with (congestive) heart failure,C0494575,Hypertensive heart and renal disease with (congestive) heart failure,narrow,C,HF,COV,I13.0,I13.0,I13.0
Heart failure including chronic HF,ICD10CM,Hypertensive heart disease with (congestive) heart failure,C0264650,Hypertensive heart disease with congestive heart failure,narrow,C,HF,COV,I11.0,I11.0,I11.0
Heart failure including chronic HF,ICD10CM,Hypertensive heart disease with heart failure,C1400066,hypertensive heart disease- with heart failure,narrow,C,HF,COV,I11.0,I11.0,I11.0
Heart failure including chronic HF,ICD10CM,Hypertensive heart failure,C0264652,Hypertensive heart failure,narrow,C,HF,COV,I11.0,I11.0,I11.0
Heart failure including chronic HF,ICD10CM,Left ventricular failure,C0023212,Left-Sided Heart Failure,narrow,C,HF,COV,I50.1,I50.1,I50.1
Heart failure including chronic HF,ICD10CM,Neonatal cardiac failure,C0455993,Neonatal cardiac failure,narrow,C,HF,COV,P29.0,P29.0,P29.0
Heart failure including chronic HF,ICD10CM,Other heart failure,"","",narrow,C,HF,COV,I50.819,I50.819,I50.819
Heart failure including chronic HF,ICD10CM,Other pulmonary embolism with acute cor pulmonale,C0155672,Acute cor pulmonale,possible,C,HF,COV,I26.09,I26.09,I26.09
Heart failure including chronic HF,ICD10CM,Pulmonary edema NOS,C0034063,Pulmonary Edema,possible,C,HF,COV,J81.1,J81.1,J81.1
Heart failure including chronic HF,ICD10CM,Pulmonary embolism with mention of acute cor pulmonale,"","",possible,C,HF,COV,I26.0,I26.0,I26.0
Heart failure including chronic HF,ICD10CM,Pulmonary oedema,C0034063,Pulmonary Edema,possible,C,HF,COV,J81,J81,J81
Heart failure including chronic HF,ICD10CM,Rheumatic heart disease- unspecified,"","",possible,C,HF,COV,I09.9,I09.9,I09.9
Heart failure including chronic HF,ICD10CM,Rheumatic heart failure,C0155582,Congestive rheumatic heart failure,narrow,C,HF,COV,I09.81,I09.81,I09.81
Heart failure including chronic HF,ICD10CM,Right heart failure,C0235527,Heart Failure- Right-Sided,narrow,C,HF,COV,I50.81,I50.81,I50.81
Heart failure including chronic HF,ICD10CM,Right ventricular failure NOS,C2939447,Right ventricular failure,narrow,C,HF,COV,I50.810,I50.810,I50.810
Heart failure including chronic HF,ICD10CM,Systolic (congestive) heart failure,C2039715,Systolic (congestive) heart failure,narrow,C,HF,COV,I50.2,I50.2,I50.2
Heart failure including chronic HF,ICD10CM,Unspecified diastolic (congestive) heart failure,C1135196,Heart Failure- Diastolic,narrow,C,HF,COV,I50.30,I50.30,I50.30
Heart failure including chronic HF,ICD10CM,Unspecified systolic (congestive) heart failure,C1135191,Heart Failure- Systolic,narrow,C,HF,COV,I50.20,I50.20,I50.20
Heart failure including chronic HF,ICD10DA,Biventricular heart failure (Biventrikulær hjerteinsufficiens),"","",narrow,C,HF,COV,I50.1D,I501D,I50.1D
Heart failure including chronic HF,ICD10DA,Cardiac asthma (Asthma cardiale),"","",narrow,C,HF,COV,I50.1A,I501A,I50.1A
Heart failure including chronic HF,ICD10DA,Cardiac pulmonary edema (Kardielt lungeødem),"","",narrow,C,HF,COV,I50.1B,I501B,I50.1B
Heart failure including chronic HF,ICD10DA,Cardiac pumonary stasis (Kardiel lungestase),"","",narrow,C,HF,COV,I50.1C,I501C,I50.1C
Heart failure including chronic HF,ICD10DA,Cardiomyopathy caused by drug or other agent,"","",narrow,C,HF,COV,I42.7,I427,I42.7
Heart failure including chronic HF,ICD10DA,Cardiopulmonary failure UNS,"","",narrow,C,HF,COV,R09.2A,R092A,R09.2A
Heart failure including chronic HF,ICD10DA,Chronic heart failure (Kronisk hjerteinsufficiens),"","",narrow,C,HF,COV,I50.0,I500,I50.0
Heart failure including chronic HF,ICD10DA,Dilatatio cordis,"","",possible,C,HF,COV,I51.7A,I517A,I51.7A
Heart failure including chronic HF,ICD10DA,Dilatatio ventriculorum cordis,"","",possible,C,HF,COV,I51.7B,I517B,I51.7B
Heart failure including chronic HF,ICD10DA,Dilated cardiomyopathy,"","",narrow,C,HF,COV,I42.0,I420,I42.0
Heart failure including chronic HF,ICD10DA,Heart failure,"","",narrow,C,HF,COV,I50,I50,I50
Heart failure including chronic HF,ICD10DA,Heart failure UNS,"","",narrow,C,HF,COV,I50.9,I509,I50.9
Heart failure including chronic HF,ICD10DA,Hjertehypertrofi,"","",possible,C,HF,COV,I51.7C,I517C,I51.7C
Heart failure including chronic HF,ICD10DA,Hypertensive heart disease and kidney disease with heart failure,"","",narrow,C,HF,COV,I13.0,I130,I13.0
Heart failure including chronic HF,ICD10DA,Hypertensive heart disease and kidney disease with heart failure and kidney failure,"","",narrow,C,HF,COV,I13.2,I132,I13.2
Heart failure including chronic HF,ICD10DA,Hypertensive heart disease with decompensated heart failure,"","",narrow,C,HF,COV,I11.0,I110,I11.0
Heart failure including chronic HF,ICD10DA,Kardiomegali,"","",possible,C,HF,COV,I51.7,I517,I51.7
Heart failure including chronic HF,ICD10DA,Left heart failure (Venstresidig hjerteinsufficiens),"","",narrow,C,HF,COV,I50.1,I501,I50.1
Heart failure including chronic HF,ICD10DA,Pulmonary edema UNS,"","",possible,C,HF,COV,J81.9,J819,J81.9
Heart failure including chronic HF,ICD10DA,Pulmonary oedema,"","",possible,C,HF,COV,J81,J81,J81
Heart failure including chronic HF,ICD10DA,Reumatisk hjertesygdom UNS,"","",narrow,C,HF,COV,I09.9,I099,I09.9
Heart failure including chronic HF,ICD10DA,Rheumatic heart failure,"","",narrow,C,HF,COV,I09.9A,I099A,I09.9A
Heart failure including chronic HF,ICD10DA,Right heart failure (Højresidig hjerteinsufficiens),"","",narrow,C,HF,COV,I50.0A,I500A,I50.0A
Heart failure including chronic HF,ICD9CM,Acute combined systolic and diastolic heart failure,"","",narrow,C,HF,COV,428.41,428.41,428.41
Heart failure including chronic HF,ICD9CM,Acute cor pulmonale,C0155672,Acute cor pulmonale,possible,C,HF,COV,415.0,415.0,415.0
Heart failure including chronic HF,ICD9CM,Acute diastolic heart failure,C2732951,Acute diastolic heart failure,narrow,C,HF,COV,428.31,428.31,428.31
Heart failure including chronic HF,ICD9CM,Acute edema of lung- unspecified,C0155919,Acute pulmonary edema,possible,C,HF,COV,518.4,518.4,518.4
Heart failure including chronic HF,ICD9CM,Acute on chronic combined systolic and diastolic heart failure,"","",narrow,C,HF,COV,428.43,428.43,428.43
Heart failure including chronic HF,ICD9CM,Acute on chronic diastolic heart failure,C2732749,Acute on chronic diastolic heart failure,narrow,C,HF,COV,428.33,428.33,428.33
Heart failure including chronic HF,ICD9CM,Acute on chronic systolic heart failure,C2733492,Acute on chronic systolic heart failure,narrow,C,HF,COV,428.23,428.23,428.23
Heart failure including chronic HF,ICD9CM,Acute systolic heart failure,C2732748,Acute systolic heart failure,narrow,C,HF,COV,428.21,428.21,428.21
Heart failure including chronic HF,ICD9CM,Benign hypertensive heart and renal disease,"","",possible,C,HF,COV,404.1,404.1,404.1
Heart failure including chronic HF,ICD9CM,Benign hypertensive heart disease with heart failure,"","",narrow,C,HF,COV,402.11,402.11,402.11
Heart failure including chronic HF,ICD9CM,Cardiac complications- not elsewhere classified,"","",possible,C,HF,COV,997.1,997.1,997.1
Heart failure including chronic HF,ICD9CM,Cardiac tamponade,C0007177,Cardiac Tamponade,possible,C,HF,COV,423.3,423.3,423.3
Heart failure including chronic HF,ICD9CM,Cardiomegaly,"","",possible,C,HF,COV,429.3,429.3,429.3
Heart failure including chronic HF,ICD9CM,Chronic combined systolic and diastolic heart failure,"","",narrow,C,HF,COV,428.42,428.42,428.42
Heart failure including chronic HF,ICD9CM,Chronic diastolic heart failure,"","",narrow,C,HF,COV,428.32,428.32,428.32
Heart failure including chronic HF,ICD9CM,Chronic systolic heart failure,"","",narrow,C,HF,COV,428.22,428.22,428.22
Heart failure including chronic HF,ICD9CM,Combined systolic and diastolic heart failure,"","",narrow,C,HF,COV,428.4,428.4,428.4
Heart failure including chronic HF,ICD9CM,Combined systolic and diastolic heart failure- unspecified,"","",narrow,C,HF,COV,428.40,428.40,428.40
Heart failure including chronic HF,ICD9CM,Diastolic heart failure,C1135196,Heart Failure- Diastolic,narrow,C,HF,COV,428.3,428.3,428.3
Heart failure including chronic HF,ICD9CM,Diastolic heart failure- unspecified,C1135196,Heart Failure- Diastolic,narrow,C,HF,COV,428.30,428.30,428.30
Heart failure including chronic HF,ICD9CM,Heart failure,C0018801,Heart failure,narrow,C,HF,COV,428,428,428
Heart failure including chronic HF,ICD9CM,Heart failure- unspecified,C0018801,Heart failure,narrow,C,HF,COV,428.9,428.9,428.9
Heart failure including chronic HF,ICD9CM,Hypertensive heart and chronic kidney disease with heart failure,"","",narrow,C,HF,COV,404.9,404.9,404.9
Heart failure including chronic HF,ICD9CM,Hypertensive heart and chronic kidney disease- benign- with heart failure and chronic kidney disease stage V or end stage renal disease,"","",narrow,C,HF,COV,404.13,404.13,404.13
Heart failure including chronic HF,ICD9CM,Hypertensive heart and chronic kidney disease- benign- with heart failure and with chronic kidney disease stage I through stage IV- or unspecified,"","",narrow,C,HF,COV,404.11,404.11,404.11
Heart failure including chronic HF,ICD9CM,Hypertensive heart and chronic kidney disease- malignant- with heart failure and with chronic kidney disease stage I through stage IV- or unspecified,C1719465,Hypertensive heart and chronic kidney disease- malignant- with heart failure and with chronic kidney disease stage I through stage IV- or unspecified,narrow,C,HF,COV,404.01,404.01,404.01
Heart failure including chronic HF,ICD9CM,Hypertensive heart and chronic kidney disease- malignant- with heart failure and with chronic kidney disease stage V or end stage renal disease,C1719467,Hypertensive heart and chronic kidney disease- malignant- with heart failure and with chronic kidney disease stage V or end stage renal disease,narrow,C,HF,COV,404.03,404.03,404.03
Heart failure including chronic HF,ICD9CM,Hypertensive heart disease,"","",narrow,C,HF,COV,402,402,402
Heart failure including chronic HF,ICD9CM,Left heart failure,C0023212,Left-Sided Heart Failure,narrow,C,HF,COV,428.1,428.1,428.1
Heart failure including chronic HF,ICD9CM,Malignant hypertensive heart disease with heart failure,"","",narrow,C,HF,COV,402.01,402.01,402.01
Heart failure including chronic HF,ICD9CM,Pulmonary congestion and hypostasis,C0155910,Pulmonary congestion and hypostasis,possible,C,HF,COV,514,514,514
Heart failure including chronic HF,ICD9CM,Respiratory arrest,"","",possible,C,HF,COV,799.1,799.1,799.1
