event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Anaemia in ulcerative colitis,ICD10DA,LeukoerytroblastÃ¦r anÃ¦mi,-,-,narrow,B,ANAEMIACOLITIS,AESI,D648A,D64.8A
Anaemia in ulcerative colitis,ICD9CM,Acute posthemorrhagic anemia,-,-,possible,B,ANAEMIACOLITIS,AESI,285.1,285.1
Anaemia in ulcerative colitis,ICD9CM,Anemia in chronic kidney disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,285.21,285.21
Anaemia in ulcerative colitis,ICD9CM,Anemia of chronic disease,C0002873,Anemia of chronic disease,narrow,B,ANAEMIACOLITIS,AESI,285.2,285.2
Anaemia in ulcerative colitis,ICD9CM,Anemia of other chronic disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,285.29,285.29
Anaemia in ulcerative colitis,ICD9CM,Anemia- unspecified,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,285.9,285.9
Anaemia in ulcerative colitis,ICD9CM,Iron deficiency anemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,280,280
Anaemia in ulcerative colitis,ICD9CM,Iron deficiency anemia- unspecified,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,280.9,280.9
Anaemia in ulcerative colitis,ICD9CM,Other specified anemias,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,285.8,285.8
Anaemia in ulcerative colitis,ICD9CM,Other specified iron deficiency anemias,C0029810,Other specified iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,280.8,280.8
Anaemia in ulcerative colitis,ICD9CM,Sideroblastic anemia,C0002896,Sideroblastic anemia,narrow,B,ANAEMIACOLITIS,AESI,285,285
Anaemia in ulcerative colitis,ICD9CM,Unspecified deficiency anemia,C0041782,Deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,281.9,281.9
Anaemia in ulcerative colitis,ICD9CMP,Acute posthemorrhagic anemia,-,-,possible,B,ANAEMIACOLITIS,AESI,285.1,285.1
Anaemia in ulcerative colitis,ICD9CMP,Anemia in chronic kidney disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,285.21,285.21
Anaemia in ulcerative colitis,ICD9CMP,Anemia of chronic disease,C0002873,Anemia of chronic disease,narrow,B,ANAEMIACOLITIS,AESI,285.2,285.2
Anaemia in ulcerative colitis,ICD9CMP,Anemia of other chronic disease,-,-,narrow,B,ANAEMIACOLITIS,AESI,285.29,285.29
Anaemia in ulcerative colitis,ICD9CMP,Anemia- unspecified,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,285.9,285.9
Anaemia in ulcerative colitis,ICD9CMP,Iron deficiency anemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,280,280
Anaemia in ulcerative colitis,ICD9CMP,Iron deficiency anemia- unspecified,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,280.9,280.9
Anaemia in ulcerative colitis,ICD9CMP,Other specified anemias,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,285.8,285.8
Anaemia in ulcerative colitis,ICD9CMP,Other specified iron deficiency anemias,C0029810,Other specified iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,280.8,280.8
Anaemia in ulcerative colitis,ICD9CMP,Sideroblastic anemia,C0002896,Sideroblastic anemia,narrow,B,ANAEMIACOLITIS,AESI,285,285
Anaemia in ulcerative colitis,ICD9CMP,Unspecified deficiency anemia,C0041782,Deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,281.9,281.9
Anaemia in ulcerative colitis,SCTSPA,Anaemia unspecified,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,154812000,154812000
Anaemia in ulcerative colitis,SCTSPA,Other anaemias,C0472702,Anemia other-unspecified,narrow,B,ANAEMIACOLITIS,AESI,154813005,154813005
Anaemia in ulcerative colitis,SCTSPA,[X]anemia (no megaloblÃ¡stica) asociada con otras deficiencias nutricionales especificadas,C0477304,[X]Anaemia (nonmegaloblastic) associated with other specified nutritional deficiencies,possible,B,ANAEMIACOLITIS,AESI,191413009,191413009
Anaemia in ulcerative colitis,SCTSPA,[X]anemia en otras enfermedades crÃ³nicas clasificadas en otra parte,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,B,ANAEMIACOLITIS,AESI,191428009,191428009
Anaemia in ulcerative colitis,SCTSPA,[X]anemias nutricionales,C0271903,Nutritional anemia,possible,B,ANAEMIACOLITIS,AESI,191407000,191407000
Anaemia in ulcerative colitis,SCTSPA,[X]otras anemias especificadas,C0029744,Other specified anemias,narrow,B,ANAEMIACOLITIS,AESI,191430006,191430006
Anaemia in ulcerative colitis,SCTSPA,[X]otras anemias ferropÃ©nicas,C0477300,Other iron deficiency anemias,narrow,B,ANAEMIACOLITIS,AESI,191408005,191408005
Anaemia in ulcerative colitis,SCTSPA,anemia,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,271737000,271737000
Anaemia in ulcerative colitis,SCTSPA,anemia,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,64593003,64593003
Anaemia in ulcerative colitis,SCTSPA,anemia aclorhÃ­drica,C0271977,Achlorhydric anemia,narrow,B,ANAEMIACOLITIS,AESI,80875006,80875006
Anaemia in ulcerative colitis,SCTSPA,anemia aclorhÃ­drica [dup],C0271977,Achlorhydric anemia,narrow,B,ANAEMIACOLITIS,AESI,191134006,191134006
Anaemia in ulcerative colitis,SCTSPA,anemia causada por mecanismos mÃºltiples,-,-,narrow,B,ANAEMIACOLITIS,AESI,45098004,45098004
Anaemia in ulcerative colitis,SCTSPA,anemia causada por medicaciÃ³n,-,-,narrow,B,ANAEMIACOLITIS,AESI,428383000,428383000
Anaemia in ulcerative colitis,SCTSPA,anemia crÃ³nica,C0581384,Chronic anemia,narrow,B,ANAEMIACOLITIS,AESI,191268006,191268006
Anaemia in ulcerative colitis,SCTSPA,anemia crÃ³nica simple,C0581384,Chronic anemia,narrow,B,ANAEMIACOLITIS,AESI,291262006,291262006
Anaemia in ulcerative colitis,SCTSPA,anemia de los trastornos crÃ³nicos,C0002873,Anemia of chronic disease,narrow,B,ANAEMIACOLITIS,AESI,234347009,234347009
Anaemia in ulcerative colitis,SCTSPA,anemia de pÃ©rdida de sangre,C0948824,Anemia due to blood loss,narrow,B,ANAEMIACOLITIS,AESI,44252001,44252001
Anaemia in ulcerative colitis,SCTSPA,anemia ferropÃ©nica,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,87522002,87522002
Anaemia in ulcerative colitis,SCTSPA,anemia ferropÃ©nica no especificada,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,191133000,191133000
Anaemia in ulcerative colitis,SCTSPA,anemia ferropÃ©nica refractaria al hierro,C0085576,Iron-Refractory Iron Deficiency Anemia,narrow,B,ANAEMIACOLITIS,AESI,722005000,722005000
Anaemia in ulcerative colitis,SCTSPA,anemia ferropÃ©nica secundaria a pÃ©rdida crÃ³nica de sangre,C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,B,ANAEMIACOLITIS,AESI,42626004,42626004
Anaemia in ulcerative colitis,SCTSPA,anemia ferropÃ©nica- SAI,C0162316,Iron deficiency anemia,narrow,B,ANAEMIACOLITIS,AESI,191137004,191137004
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica Coombs positiva,-,-,narrow,B,ANAEMIACOLITIS,AESI,74789008,74789008
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria,-,-,narrow,B,ANAEMIACOLITIS,AESI,413603009,413603009
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por complemento,-,-,narrow,B,ANAEMIACOLITIS,AESI,11781007,11781007
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por inmunoglobulina A,-,-,narrow,B,ANAEMIACOLITIS,AESI,91411007,91411007
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por inmunoglobulina A mÃ¡s complemento,-,-,narrow,B,ANAEMIACOLITIS,AESI,33491002,33491002
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por inmunoglobulina G,-,-,narrow,B,ANAEMIACOLITIS,AESI,5603006,5603006
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por inmunoglobulina G mÃ¡s complemento,-,-,narrow,B,ANAEMIACOLITIS,AESI,62609001,62609001
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria causada por inmunoglobulina M,-,-,narrow,B,ANAEMIACOLITIS,AESI,71832003,71832003
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria de tipo mixto,-,-,narrow,B,ANAEMIACOLITIS,AESI,718716008,718716008
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria idiopÃ¡tica crÃ³nica,-,-,possible,B,ANAEMIACOLITIS,AESI,22098000,22098000
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria por crioaglutininas,-,-,narrow,B,ANAEMIACOLITIS,AESI,398937006,398937006
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria primaria (idiopÃ¡tica),-,-,narrow,B,ANAEMIACOLITIS,AESI,127049002,127049002
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria secundaria,-,-,narrow,B,ANAEMIACOLITIS,AESI,127050002,127050002
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria secundaria concomitante con colitis ulcerosa y debida a ella,-,-,narrow,B,ANAEMIACOLITIS,AESI,732966008,732966008
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria secundaria concomitante con enfermedad inflamatoria crÃ³nica y debida a ella,-,-,narrow,B,ANAEMIACOLITIS,AESI,732962005,732962005
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica autoinmunitaria- categorizada por tipo de anticuerpo Y-O por el complemento,-,-,narrow,B,ANAEMIACOLITIS,AESI,127061005,127061005
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica caliente autoinmunitaria secundaria,-,-,narrow,B,ANAEMIACOLITIS,AESI,127052005,127052005
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica microangiopÃ¡tica,-,-,possible,B,ANAEMIACOLITIS,AESI,51071000,51071000
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica por anticuerpos calientes,-,-,narrow,B,ANAEMIACOLITIS,AESI,3978000,3978000
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica primaria por anticuerpos calientes,-,-,narrow,B,ANAEMIACOLITIS,AESI,191211009,191211009
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica primaria por anticuerpos frÃ­os,-,-,narrow,B,ANAEMIACOLITIS,AESI,191210005,191210005
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica secundaria por anticuerpos calientes,-,-,narrow,B,ANAEMIACOLITIS,AESI,191213007,191213007
Anaemia in ulcerative colitis,SCTSPA,anemia hemolÃ­tica secundaria por anticuerpos frÃ­os,-,-,narrow,B,ANAEMIACOLITIS,AESI,191212002,191212002
Anaemia in ulcerative colitis,SCTSPA,anemia hipocrÃ³mica idiopÃ¡tica,C1306853,Idiopathic hypochromic anemia,narrow,B,ANAEMIACOLITIS,AESI,191136008,191136008
Anaemia in ulcerative colitis,SCTSPA,anemia hipocrÃ³mica idiopÃ¡tica,C1306853,Idiopathic hypochromic anemia,narrow,B,ANAEMIACOLITIS,AESI,44452003,44452003
Anaemia in ulcerative colitis,SCTSPA,anemia hipoplÃ¡sica transitoria,-,-,narrow,B,ANAEMIACOLITIS,AESI,191251007,191251007
Anaemia in ulcerative colitis,SCTSPA,anemia macrocÃ­tica,C0002886,Anemia- Macrocytic,narrow,B,ANAEMIACOLITIS,AESI,83414005,83414005
Anaemia in ulcerative colitis,SCTSPA,anemia macrocÃ­tica de causa no especificada,C0002886,Anemia- Macrocytic,narrow,B,ANAEMIACOLITIS,AESI,191151004,191151004
Anaemia in ulcerative colitis,SCTSPA,anemia macrocÃ­tica de causa no especificada,C0002886,Anemia- Macrocytic,narrow,B,ANAEMIACOLITIS,AESI,234356001,234356001
Anaemia in ulcerative colitis,SCTSPA,anemia medicamentosa por deficiencia de folatos,-,-,narrow,B,ANAEMIACOLITIS,AESI,191148006,191148006
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica,-,-,narrow,B,ANAEMIACOLITIS,AESI,53165003,53165003
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica aguda,-,-,narrow,B,ANAEMIACOLITIS,AESI,82430007,82430007
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica aguda por enfermedad severa,-,-,narrow,B,ANAEMIACOLITIS,AESI,62389006,62389006
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica debida a deficiencia de folato por aumento de los requerimientos,-,-,narrow,B,ANAEMIACOLITIS,AESI,721184003,721184003
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica debida a deficiencia de vitamina B12 secundaria a enfermedad intestinal,-,-,narrow,B,ANAEMIACOLITIS,AESI,717946000,717946000
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por alteraciÃ³n de la absorciÃ³n de folato,-,-,narrow,B,ANAEMIACOLITIS,AESI,27798002,27798002
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por aporte insuficiente de vitamina B12,-,-,narrow,B,ANAEMIACOLITIS,AESI,44910003,44910003
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por aumento de los requerimientos,-,-,narrow,B,ANAEMIACOLITIS,AESI,67894009,67894009
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por deficiencia de Ã¡cido fÃ³lico,-,-,narrow,B,ANAEMIACOLITIS,AESI,85649008,85649008
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por dÃ©ficit de vitamina B12,-,-,narrow,B,ANAEMIACOLITIS,AESI,49472006,49472006
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por enfermedad del intestino delgado,-,-,narrow,B,ANAEMIACOLITIS,AESI,82895008,82895008
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica por malabsorciÃ³n de vitamina B12 con proteinuria,-,-,narrow,B,ANAEMIACOLITIS,AESI,26333003,26333003
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica refractaria,-,-,narrow,B,ANAEMIACOLITIS,AESI,31206006,31206006
Anaemia in ulcerative colitis,SCTSPA,anemia megaloblÃ¡stica sensible a tiamina,-,-,narrow,B,ANAEMIACOLITIS,AESI,12907000,12907000
Anaemia in ulcerative colitis,SCTSPA,anemia microcÃ­tica,C5194182,Microcytic anemia,narrow,B,ANAEMIACOLITIS,AESI,234349007,234349007
Anaemia in ulcerative colitis,SCTSPA,anemia microcÃ­tica hipocrÃ³mica,-,-,narrow,B,ANAEMIACOLITIS,AESI,44666001,44666001
Anaemia in ulcerative colitis,SCTSPA,anemia microcÃ­tica hipocrÃ³mica con sobrecarga de hierro,-,-,narrow,B,ANAEMIACOLITIS,AESI,711161006,711161006
Anaemia in ulcerative colitis,SCTSPA,anemia microcÃ­tica normocrÃ³mica,-,-,narrow,B,ANAEMIACOLITIS,AESI,4984008,4984008
Anaemia in ulcerative colitis,SCTSPA,anemia no especificada,C0002871,Anemia,narrow,B,ANAEMIACOLITIS,AESI,267531008,267531008
Anaemia in ulcerative colitis,SCTSPA,anemia no megaloblÃ¡stica asociada a dÃ©ficit nutricional,-,-,narrow,B,ANAEMIACOLITIS,AESI,52565000,52565000
Anaemia in ulcerative colitis,SCTSPA,anemia normocÃ­tica,C0085577,Normocytic anemia,narrow,B,ANAEMIACOLITIS,AESI,300980002,300980002
Anaemia in ulcerative colitis,SCTSPA,anemia normocÃ­tica luego de hemorragia aguda,-,-,narrow,B,ANAEMIACOLITIS,AESI,303060002,303060002
Anaemia in ulcerative colitis,SCTSPA,anemia normocÃ­tica normocrÃ³mica,C0271899,Normocytic normochromic anemia,narrow,B,ANAEMIACOLITIS,AESI,46737006,46737006
Anaemia in ulcerative colitis,SCTSPA,anemia normocÃ­tica por pÃ©rdida crÃ³nica de sangre,-,-,narrow,B,ANAEMIACOLITIS,AESI,234352004,234352004
Anaemia in ulcerative colitis,SCTSPA,anemia nutricional,C0271903,Nutritional anemia,possible,B,ANAEMIACOLITIS,AESI,66612000,66612000
Anaemia in ulcerative colitis,SCTSPA,anemia perniciosa,-,-,narrow,B,ANAEMIACOLITIS,AESI,84027009,84027009
Anaemia in ulcerative colitis,SCTSPA,anemia perniciosa debida a enfermedad autoinmunitaria,-,-,narrow,B,ANAEMIACOLITIS,AESI,1153333001,1153333001
Anaemia in ulcerative colitis,SCTSPA,anemia por deficiencia adquirida de tiamina,-,-,narrow,B,ANAEMIACOLITIS,AESI,721295000,721295000
Anaemia in ulcerative colitis,SCTSPA,anemia por deficiencia combinada,-,-,narrow,B,ANAEMIACOLITIS,AESI,234364007,234364007
Anaemia in ulcerative colitis,SCTSPA,anemia por deficiencia combinada de vitamina B 12 y folatos,-,-,narrow,B,ANAEMIACOLITIS,AESI,191154007,191154007
Anaemia in ulcerative colitis,SCTSPA,anemia por deficiencia de cinc,-,-,narrow,B,ANAEMIACOLITIS,AESI,34629009,34629009
Anaemia in ulcerative colitis,SCTSPA,anemia por deficiencia de cobre,-,-,narrow,B,ANAEMIACOLITIS,AESI,111574001,111574001
