event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code,Type_codelist,EXPOSURE,COV,INDICATION,ALTERNATIVES,Algorithm,Algorithm_input,DP,EXACT_MATCH,Label,...12,Start window,End window
Angina pectoris,ICD10CM,Angina pectoris- unspecified,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20.9,I20.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Atherosclerosic heart disease of native coronary artery with refractory angina pectoris,"","",narrow,C,ANGINA,AESI,I25.112,I25.112,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I25.118,I25.118,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,"","",narrow,C,ANGINA,AESI,I25.119,I25.119,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I20.8,I20.8,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10CM,Unstable angina,"","",narrow,C,ANGINA,AESI,I20.0,I20.0,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,I20,I20,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Angina pectoris with documented ischemia,"","",narrow,C,ANGINA,AESI,I208E2,I20.8E2,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Angina pectoris with documented spasm,"","",narrow,C,ANGINA,AESI,I201,I20.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Angina pectoris- unspecified,"","",narrow,C,ANGINA,AESI,I209,I20.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Atherosclerotic heart disease,"","",possible,C,ANGINA,AESI,I251,I25.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Chronic ischemic heart disease UNS,"","",possible,C,ANGINA,AESI,I259,I25.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Clinically assessed angina pectoris,"","",narrow,C,ANGINA,AESI,I208E1,I20.8E1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Clinically assessed unstable angina pectoris,"","",narrow,C,ANGINA,AESI,I200B,I20.0B,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Microvascular angina,"","",narrow,C,ANGINA,AESI,I208D,I20.8D,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,I208,I20.8,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Stable angina pectoris,"","",narrow,C,ANGINA,AESI,I208E,I20.8E,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Unstable angina,"","",narrow,C,ANGINA,AESI,I200,I20.0,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD10DA,Unstable angina pectoris with documented ischemia,"","",narrow,C,ANGINA,AESI,I200C,I20.0C,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CM,Angina decubitus conve,"","",narrow,C,ANGINA,AESI,413.0,413.0,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CM,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,413,413,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CM,Other and unspecified,"","",narrow,C,ANGINA,AESI,413.9,413.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CM,Prinzmetal angina conv,"","",narrow,C,ANGINA,AESI,413.1,413.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CMP,Angina decubitus conve,"","",narrow,C,ANGINA,AESI,413.0,413.0,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CMP,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,413,413,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CMP,Other and unspecified,"","",narrow,C,ANGINA,AESI,413.9,413.9,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICD9CMP,Prinzmetal angina conv,"","",narrow,C,ANGINA,AESI,413.1,413.1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICPC,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,K74,K74,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICPC2P,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,K74001,K74001,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,ICPC2P,Pain-angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,K74002,K74002,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina,"","",narrow,C,ANGINA,AESI,4775971000006114,4775971000006114,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina associated with type 2 diabetes mellitus,"","",narrow,C,ANGINA,AESI,7966931000006114,7966931000006114,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina at rest,"","",narrow,C,ANGINA,AESI,482811000006113,482811000006113,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina at rest,"","",narrow,C,ANGINA,AESI,498328016,498328016,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina decubitus,"","",narrow,C,ANGINA,AESI,98087016,98087016,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina decubitus NOS,"","",narrow,C,ANGINA,AESI,299763015,299763015,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina grading (canadian cardiovascular society),"","",possible,C,ANGINA,AESI,482911000006118,482911000006118,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina of effort,"","",narrow,C,ANGINA,AESI,5887641000006118,5887641000006118,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina on effort,"","",narrow,C,ANGINA,AESI,442204010,442204010,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina pectoris,"","",narrow,C,ANGINA,AESI,299757012,299757012,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina pectoris NOS,"","",narrow,C,ANGINA,AESI,299765010,299765010,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina pectoris NOS,"","",narrow,C,ANGINA,AESI,482941000006119,482941000006119,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina- class I,"","",narrow,C,ANGINA,AESI,3499001000006116,3499001000006116,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina- class II,"","",narrow,C,ANGINA,AESI,3166141000006114,3166141000006114,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Angina- class III,"","",narrow,C,ANGINA,AESI,3886751000006118,3886751000006118,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Anginal chest pain at rest,"","",narrow,C,ANGINA,AESI,3458791000006114,3458791000006114,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Anginal pain,"","",narrow,C,ANGINA,AESI,960181000006111,960181000006111,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Anginal syndrome,"","",narrow,C,ANGINA,AESI,4776001000006111,4776001000006111,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Atypical angina,"","",narrow,C,ANGINA,AESI,6360391000006118,6360391000006118,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Cardiac angina,"","",narrow,C,ANGINA,AESI,4775981000006112,4775981000006112,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Coronary artery spasm angina,"","",narrow,C,ANGINA,AESI,3920021000006112,3920021000006112,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Crescendo angina,"","",narrow,C,ANGINA,AESI,7847015,7847015,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Exercise-induced angina,"","",narrow,C,ANGINA,AESI,5887611000006117,5887611000006117,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Exertional angina,"","",narrow,C,ANGINA,AESI,5887631000006111,5887631000006111,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Frequency of angina,"","",possible,C,ANGINA,AESI,1752201000000116,1752201000000116,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Ischaemic heart disease - angina,"","",narrow,C,ANGINA,AESI,4776031000006115,4776031000006115,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Ludwig-s angina,"","",narrow,C,ANGINA,AESI,302275011,302275011,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,New onset angina,"","",narrow,C,ANGINA,AESI,350350014,350350014,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Nocturnal angina,"","",narrow,C,ANGINA,AESI,59952018,59952018,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Possible angina,"","",narrow,C,ANGINA,AESI,856451000006113,856451000006113,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Post infarct angina,"","",narrow,C,ANGINA,AESI,458410010,458410010,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Prinzmetal angina,"","",narrow,C,ANGINA,AESI,3919991000006112,3919991000006112,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Prinzmetal-s angina,"","",narrow,C,ANGINA,AESI,1235225010,1235225010,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Progressive angina,"","",narrow,C,ANGINA,AESI,12276271000006112,12276271000006112,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Recurrent angina after coronary artery bypass graft,"","",narrow,C,ANGINA,AESI,6360441000006119,6360441000006119,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Recurrent angina after coronary stent placement,"","",narrow,C,ANGINA,AESI,6360421000006114,6360421000006114,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Recurrent angina after percutaneous transluminal coronary angioplasty,"","",narrow,C,ANGINA,AESI,6360401000006116,6360401000006116,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Refractory angina,"","",narrow,C,ANGINA,AESI,459487012,459487012,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Stable angina,"","",narrow,C,ANGINA,AESI,350348018,350348018,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Typical angina,"","",narrow,C,ANGINA,AESI,7105241000006116,7105241000006116,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,72571000006115,72571000006115,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,7845011,7845011,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Unstable angina,"","",narrow,C,ANGINA,AESI,854491000006113,854491000006113,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Unstable angina co-occurrent and due to coronary arteriosclerosis,"","",narrow,C,ANGINA,AESI,9868461000006110,9868461000006110,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Variant angina,"","",narrow,C,ANGINA,AESI,3920011000006116,3920011000006116,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Variant angina pectoris,"","",narrow,C,ANGINA,AESI,144819018,144819018,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Variant angina pectoris,"","",narrow,C,ANGINA,AESI,3920001000006119,3920001000006119,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,Worsening angina,"","",narrow,C,ANGINA,AESI,494261017,494261017,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,[RFC] Angina,"","",narrow,C,ANGINA,AESI,905381000006117,905381000006117,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,MEDCODEID,[X]Other forms of angina pectoris,"","",narrow,C,ANGINA,AESI,300874013,300874013,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD,Angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33..,G33..,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33z.,G33z.,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD,Ischaemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,Ua1eH,Ua1eH,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD,Stenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33z1,G33z1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD2,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33..,G33..,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD2,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33z.,G33z.,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD2,Ischaemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33z4,G33z4,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,RCD2,Stenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,G33z1,G33z1,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,angina cordis,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,17828002,17828002,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,angina de pecho,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194828000,194828000,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,angina de pecho,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,367416001,367416001,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,angina de pecho- SAI,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194830003,194830003,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,angina de pecho- SAI,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194839002,194839002,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,dolor torácico isquémico,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,225566008,225566008,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SCTSPA,estenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194832006,194832006,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,155307004,155307004,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,17828002,17828002,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina pectoris,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194828000,194828000,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194830003,194830003,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina pectoris NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194839002,194839002,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Angina- NOS,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,367416001,367416001,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Ischaemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194835008,194835008,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Ischemic chest pain,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,225566008,225566008,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Angina pectoris,SNOMEDCT_US,Stenocardia,C0002962,Angina Pectoris,narrow,C,ANGINA,AESI,194832006,194832006,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Angina pectoris,,,
Cardiomyopathy excl. myo and pericarditis and stress,ICD10,Alcoholic cardiomyopathy,C0007192,Cardiomyopathy- Alcoholic,narrow,C,CARDIOMYOPATHY,COV,I42.6,I42.6,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Cardiomiopathy,,,
Cardiomyopathy excl. myo and pericarditis and stress,ICD10,Cardiomyopathy,C0878544,Cardiomyopathies,narrow,C,CARDIOMYOPATHY,COV,I42,I42,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Cardiomiopathy,,,
Cardiomyopathy excl. myo and pericarditis and stress,ICD10,Cardiomyopathy due to drugs and other external agents,C0340437,Chronic myocardial disorder due to chemical - external agent,narrow,C,CARDIOMYOPATHY,COV,I42.7,I42.7,diagnosis,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Cardiomiopathy,,,
