Coding system,Code,Code name,Concept,Concept name,Tags,Comment,Edited by,Date,Clinical review 1,Reviewer 1,Date review 1,Clinical review 2,Reviewer 2,Date review 2
ICD10,D64.4,Congenital dyserythropoietic anaemia,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10,D64.8,Other specified anaemias,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
ICD10,D64.9,"Anaemia, unspecified",C0002871,Anemia,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D50,Iron deficiency anemia,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D50.0,Iron deficiency anemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D50.1,Sideropenic dysphagia,-,-,exclude,Desc: code D50,,,sima,,13-August-2024,,,
ICD10CM,D50.8,Other iron deficiency anemias,C0477300,Other iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D50.9,"Iron deficiency anemia, unspecified",C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D51,Vitamin B12 deficiency anemia,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.0,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.1,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.2,Transcobalamin II deficiency,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.3,Other dietary vitamin B12 deficiency anemia,-,-,exclude,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.8,Other vitamin B12 deficiency anemias,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D51.9,"Vitamin B12 deficiency anemia, unspecified",-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D52,Folate deficiency anemia,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D52.0,Dietary folate deficiency anemia,-,-,exclude,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D52.1,Drug-induced folate deficiency anemia,-,-,exclude,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D52.8,Other folate deficiency anemias,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D52.9,"Folate deficiency anemia, unspecified",-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53,Other nutritional anemias,-,-,possible,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53.0,Protein deficiency anemia,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53.1,"Other megaloblastic anemias, not elsewhere classified",-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53.2,Scorbutic anemia,-,-,narrow,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53.8,Other specified nutritional anemias,-,-,possible,Desc: code D50-D53,,,sima,,13-August-2024,,,
ICD10CM,D53.9,Simple chronic anemia,C0581384,Chronic anemia,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D63.8,Anemia in other chronic diseases classified elsewhere,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D64,Other anemias,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D64.0,Hereditary sideroblastic anemia,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10CM,D64.1,Secondary sideroblastic anemia due to disease,-,-,narrow,Desc: code D64,,,sima,,13-August-2024,,,
ICD10CM,D64.2,Secondary sideroblastic anemia due to drugs and toxins,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10CM,D64.3,Sideroblastic anemia NOS,C0002896,Sideroblastic anemia,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D64.4,Congenital dyserythropoietic anemia,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10CM,D64.8,Other specified anemias,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D64.81,Anemia due to antineoplastic chemotherapy,-,-,exclude,Desc: code D64,,,sima,,13-August-2024,,,
ICD10CM,D64.89,Other specified anemias,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
ICD10CM,D64.9,"Anemia, unspecified",C0002871,Anemia,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D50,Jernmangelanæmi,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D500,Kronisk blødningsanæmi,C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D508,Jernmangelanæmi af anden årsag,C0477300,Other iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D508A,Jernmangelanæmi forårsaget af insufficient indtag af jern,-,-,narrow,Desc: code D508,,,sima,,13-August-2024,,,
ICD10DA,D509,Jernmangelanæmi UNS,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D509A,Hypokrom anæmi UNS,-,-,narrow,Desc: code D509,,,sima,,13-August-2024,,,
ICD10DA,D638,Anæmi ved anden kronisk sygdom klassificeret andetsteds,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D64,Andre anæmier,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D648,Anden anæmi,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
ICD10DA,D648A,Leukoerytroblastær anæmi,-,-,narrow,Desc: code D648,,,sima,,13-August-2024,,,
ICD10DA,D648B,Infantil pseudoleukæmi,-,-,exclude,Desc: code D648,,,sima,,13-August-2024,,,
ICD10DA,D649,Anæmi UNS,C0002871,Anemia,narrow,,,,sima,,13-August-2024,,,
ICD9CM,280,Iron deficiency anemia secondary to blood loss (chronic),C0154286,Iron deficiency anemia secondary to chronic blood loss,narrow,,,,sima,,13-August-2024,,,
ICD9CM,280.1,Iron deficiency anemia secondary to inadequate dietary iron intake,C0154287,Iron deficiency anemia secondary to inadequate dietary iron intake,exclude,,,,sima,,13-August-2024,,,
ICD9CM,280.8,Other specified iron deficiency anemias,C0029810,Other specified iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
ICD9CM,280.9,"Iron deficiency anemia, unspecified",C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICD9CM,281.9,Unspecified deficiency anemia,C0041782,Deficiency anemias,narrow,,,,sima,,13-August-2024,,,
ICD9CM,285,Sideroblastic anemia,C0002896,Sideroblastic anemia,narrow,,,,sima,,13-August-2024,,,
ICD9CM,285.1,Acute posthemorrhagic anemia,-,-,possible,Desc: code 285,,,sima,,13-August-2024,,,
ICD9CM,285.2,Anemia of chronic disease,C0002873,Anemia of chronic disease,narrow,,,,sima,,13-August-2024,,,
ICD9CM,285.21,Anemia in chronic kidney disease,-,-,narrow,Desc: code 285.2,,,sima,,13-August-2024,,,
ICD9CM,285.22,Anemia in neoplastic disease,-,-,exclude,Desc: code 285.2,,,sima,,13-August-2024,,,
ICD9CM,285.29,Anemia of other chronic disease,-,-,narrow,Desc: code 285.2,,,sima,,13-August-2024,,,
ICD9CM,285.3,Antineoplastic chemotherapy induced anemia,-,-,exclude,Desc: code 285,,,sima,,13-August-2024,,,
ICD9CM,285.8,Other specified anemias,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
ICD9CM,285.9,"Anemia, unspecified",C0002871,Anemia,narrow,,,,sima,,13-August-2024,,,
ICPC,B80,Iron deficiency anemia,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICPC,B82,Anemia other/unspecified,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
ICPC2EENG,B80,Iron deficiency anaemia,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
ICPC2EENG,B82,Anaemia other/unspecified,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
MTHICD9,280.0,Chronic iron deficiency anemia secondary to blood loss,C0154286,Iron deficiency anemia secondary to chronic blood loss,possible,,,,sima,,13-August-2024,,,
MTHICD9,280.9,Idiopathic hypochromic anemia,C1306853,Idiopathic hypochromic anemia,narrow,,,,sima,,13-August-2024,,,
MTHICD9,281.9,Simple chronic anemia,C0002886,"Anemia, Macrocytic",narrow,,,,sima,,13-August-2024,,,
MTHICD9,285.0,"Anemia, primary sideroblastic",C0002896,Sideroblastic anemia,narrow,,,,sima,,13-August-2024,,,
MTHICD9,285.2,Anemia in chronic illness,C0002873,Anemia of chronic disease,narrow,,,,sima,,13-August-2024,,,
MTHICD9,285.9,"Anemia, NOS",C0002871,Anemia,narrow,,,,sima,,13-August-2024,,,
RCD,B9370,"Refractory anaemia without sideroblasts, so stated",-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,B9371,Refractory anaemia with sideroblasts,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,B9372,Refractory anaemia with excess of blasts,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,B9373,Refractory anaemia with excess of blasts with transformation,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,ByuHC,"[X]Refractory anaemia, unspecified",-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D001.,Iron defic.anaemia-dietary,C0472714,Iron deficiency anemia due to dietary causes,exclude,,,,sima,,13-August-2024,,,
RCD,D00y0,Sideropenic dysphagia,-,-,narrow,Desc: code X20Bw,,,sima,,13-August-2024,,,
RCD,D00y1,Microcytic hypochromic anaemia,-,-,narrow,Desc: code X20Bw,,,sima,,13-August-2024,,,
RCD,D00yz,Other specified iron deficiency anaemia NOS,C0029810,Other specified iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
RCD,D00z.,Unspecified iron deficiency anaemia,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D00z0,Achlorhydric anaemia,C0271977,Achlorhydric anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D00z1,Chlorotic anaemia,C0008272,Asiderotic anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D00z2,Idiopathic hypochromic anaemia,C1306853,Idiopathic hypochromic anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D00zz,Iron deficiency anaemia NOS,C0162316,Iron deficiency anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D0111,Vitamin B12 deficiency anaemia due to malabsorption with proteinuria,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D011z,Other vitamin B12 deficiency anaemia NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D012.,Folate-deficient megaloblastic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D0120,Congenital folate malabsorption anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D0122,"Folate deficiency anaemia, drug-induced",-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D0123,Folate deficiency anaemia due to malabsorption,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D0124,Folate deficiency anaemia due to liver disorders,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D012z,Folate deficiency anaemia NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D013.,Other specified megaloblastic anaemia NEC,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D0130,Combined B12 and folate deficiency anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D013z,Other specified megaloblastic anaemia NEC NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D014.,Protein-deficiency anaemia,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D0140,Amino acid deficiency anaemia,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D0141,Oroticaciduria,-,-,exclude,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D014z,Protein-deficiency anaemia NOS,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01y.,Other specified nutritional deficiency anaemia,-,-,possible,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01y0,Vitamin C deficiency anaemia,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01y1,Vitamin E deficiency anaemia,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01yy,Other specified other nutritional deficiency anaemia,-,-,possible,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01yz,Other specified nutritional deficiency anaemia NOS,-,-,possible,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D01z0,[X]Megaloblastic anaemia NOS,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D0y..,Other specified deficiency anaemias,-,-,narrow,Desc: code XE13b,,,sima,,13-August-2024,,,
RCD,D0z..,Deficiency anaemias NOS,C0041782,Deficiency anemias,narrow,,,,sima,,13-August-2024,,,
RCD,D1...,Haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D10..,Hereditary haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D102.,Haemolytic anaemia due to glutathione metabolism disorder,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1022,Drug-induced enzyme deficiency anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D102y,Other specified haemolytic anaemia due to glutathione metabolism disorder,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D102z,Haemolytic anaemia due to glutathione metabolism disorder NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D103.,Other enzyme deficiency haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1031,Haemolytic anaemia due to pyruvate kinase deficiency,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1033,Anaemia due to disorders of nucleotide metabolism,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D103z,Enzyme deficiency haemolytic anaemia NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D10y.,Other specified hereditary haemolytic anaemias,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D10yz,Other specified hereditary haemolytic anaemia NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D10z.,Hereditary haemolytic anaemia NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D11..,Acquired haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1100,Primary cold-type haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1101,Primary warm-type haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1102,Secondary cold-type haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1103,Secondary warm-type haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D110z,Autoimmune haemolytic anaemia NOS,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D111.,Non-autoimmune haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1110,Mechanical haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1111,Microangiopathic haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1112,Toxic haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1113,Haemolytic uraemic syndrome,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1114,Drug-induced haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1115,Infective haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D111y,Other specified non-autoimmune haemolytic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D111z,Non-autoimmune haemolytic anaemia NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D112.,Haemoglobinuria due to haemolysis from external causes,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1121,Paroxysmal nocturnal haemoglobinuria,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1122,Cold Donath Landsteiner type autoimmune haemolytic anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D112y,Other specified haemoglobinuria due to haemolysis from external cause,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D11z.,Acquired haemolytic anaemia NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D11z0,Acquired spherocytosis,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D11z1,"Pyknocytosis, infantile",-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1y..,Other specified haemolytic anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D1z..,Haemolytic anaemias NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2...,Aplastic and other anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D20..,Aplastic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2001,Fanconi's anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2004,Erythrogenesis imperfecta,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D200y,Other specified constitutional aplastic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D200z,Constitutional aplastic anaemia NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2010,Aplastic anaemia due to chronic disease,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2012,Aplastic anaemia due to infection,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2013,Aplastic anaemia due to radiation,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2014,Aplastic anaemia due to toxic cause,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2015,Pancytopenia - acquired,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D2017,Transient hypoplastic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D202.,Chronic acquired pure red cell aplasia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D203.,Transient acquired pure red cell aplasia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D204.,Idiopathic aplastic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D20z.,Aplastic anaemia NOS,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D21..,Other and unspecified anaemia,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
RCD,D210.,Sideroblastic anaemia,C0002896,Sideroblastic anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D2100,Erythroid 5-aminolevulinate synthetase deficiency,-,-,exclude,Desc: code D210.,,,sima,,13-August-2024,,,
RCD,D2101,Acquired sideroblastic anaemia,-,-,narrow,Desc: code D210.,,,sima,,13-August-2024,,,
RCD,D2102,Pyridoxine-responsive sideroblastic anaemia,-,-,exclude,Desc: code D210.,,,sima,,13-August-2024,,,
RCD,D2103,Secondary sideroblastic anaemia due to disease,-,-,narrow,Desc: code D210.,,,sima,,13-August-2024,,,
RCD,D2104,Secondary sideroblastic anaemia due to drugs and toxins,-,-,exclude,Desc: code D210.,,,sima,,13-August-2024,,,
RCD,D210z,Sideroblastic anaemia NOS,C0002896,Sideroblastic anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D212.,Anaemia in neoplastic disease,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D214.,Chronic anaemia,C0581384,Chronic anemia,narrow,,,,sima,,13-August-2024,,,
RCD,D21y2,Leucoerythroblastic anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D21yy,Other specified other anaemia,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,D21yz,Other specified anaemia NOS,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
RCD,D2y..,Other specified anaemias,C0029744,Other specified anemias,narrow,,,,sima,,13-August-2024,,,
RCD,D2z..,Other anaemias NOS,C0472702,Anemia other/unspecified,narrow,,,,sima,,13-August-2024,,,
RCD,Dyu0.,[X]Nutritional anaemias,C0271903,Nutritional anemia,possible,,,,sima,,13-August-2024,,,
RCD,Dyu00,[X]Other iron deficiency anaemias,C0477300,Other iron deficiency anemias,narrow,,,,sima,,13-August-2024,,,
RCD,Dyu01,[X]Other dietary vitamin B12 deficiency anaemia,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu02,[X]Other vitamin B12 deficiency anaemias,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu03,[X]Other folate deficiency anaemias,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu04,"[X]Other megaloblastic anaemias, not elsewhere classified",-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu05,[X]Anaemia (nonmegaloblastic) associated with other specified nutritional deficiencies,C0477304,[X]Anaemia (nonmegaloblastic) associated with other specified nutritional deficiencies,possible,,,,sima,,13-August-2024,,,
RCD,Dyu06,"[X]Vitamin B12 deficiency anaemia, unspecified",-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu1.,[X]Haemolytic anaemias,-,-,possible,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu10,[X]Other anaemias due to enzyme disorders,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu14,[X]Other specified hereditary haemolytic anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu15,[X]Other autoimmune haemolytic anaemias,-,-,narrow,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu16,[X]Other nonautoimmune haemolytic anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu17,[X]Other acquired haemolytic anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu2.,[X]Aplastic and other anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu20,[X]Other acquired pure red cell aplasias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu21,[X]Other specified aplastic anaemias,-,-,exclude,Desc: code XM05A,,,sima,,13-August-2024,,,
RCD,Dyu22,[X]Anaemia in oth chron dis CE,C0477312,Anemia in other chronic diseases classified elsewhere,narrow,,,,sima,,13-August-2024,,,
