event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Transplant recipient,CCAM,Transplantationd-îlotspancréatiquespardispositifimplanté-parlaparotomie,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HNEA740,HNEA740
Transplant recipient,CCAM,Transplantationd-îlotspancréatiquesparvoieintraportaletranshépatiquetranscutanéeavecguidageradiologique,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HNEH606,HNEH606
Transplant recipient,CCAM,Transplantationde201greffonsdecuirchevelu-ouplus,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,QAEA007,QAEA007
Transplant recipient,CCAM,Transplantationde50à200greffonsdecuirchevelu,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,QAEA005,QAEA005
Transplant recipient,CCAM,Transplantationdefoieréduit,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HLEA002,HLEA002
Transplant recipient,CCAM,Transplantationdefoietotal,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HLEA001,HLEA001
Transplant recipient,CCAM,Transplantationdelobepulmonaire-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,GFEA002,GFEA002
Transplant recipient,CCAM,Transplantationdelobepulmonaire-parthoracotomiesansCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,GFEA005,GFEA005
Transplant recipient,CCAM,Transplantationdemoinsde50greffonsdecuirchevelu,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,QAEA001,QAEA001
Transplant recipient,CCAM,Transplantationdubloccoeur-poumons-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,DZEA004,DZEA004
Transplant recipient,CCAM,Transplantationdupancréas-parlaparotomie,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HNEA900,HNEA900
Transplant recipient,CCAM,Transplantationdupancréasetdurein-parlaparotomie,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,HNEA002,HNEA002
Transplant recipient,CCAM,Transplantationdupiedàlacuisseavecconservationdespédiculesvasculonerveux,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,NZEA003,NZEA003
Transplant recipient,CCAM,Transplantationdurein,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,JAEA003,JAEA003
Transplant recipient,CCAM,Transplantationexceptionnelledetissusetd-organe,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,ZZEA800,ZZEA800
Transplant recipient,CCAM,Transplantationhétérotopiqueducoeur-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,DZEA003,DZEA003
Transplant recipient,CCAM,Transplantationitérativeducoeur-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,DZEA001,DZEA001
Transplant recipient,CCAM,Transplantationorthotopiqueducoeur-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,DZEA002,DZEA002
Transplant recipient,CCAM,Transplantationséquentielledes2poumons-parthoracotomieavecCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,GFEA001,GFEA001
Transplant recipient,CCAM,Transplantationséquentielledes2poumons-parthoracotomiesansCEC,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,GFEA004,GFEA004
Transplant recipient,GHM,Allogeneic hematopoietic stem cell transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27Z02Z,27Z02Z
Transplant recipient,GHM,Autografts of hematopoietic stem cells,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27Z03Z,27Z03Z
Transplant recipient,GHM,Heart transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27C05Z,27C05Z
Transplant recipient,GHM,Kidney transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27C06Z,27C06Z
Transplant recipient,GHM,Liver transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27C02Z,27C02Z
Transplant recipient,GHM,Lung transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27C04Z,27C04Z
Transplant recipient,GHM,Pancreas transplants,"","",narrow,TP,TRANSPLANTRECIPIENT,COV,27C03Z,27C03Z
