event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,event_abbreviation,type,code
Blood transfusion as UC flare up,PROCDA,BOQA01,Blodtransfusion op til 3 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA01
Blood transfusion as UC flare up,PROCDA,BOQA02,Blodtransfusion op til 5 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA02
Blood transfusion as UC flare up,PROCDA,BOQA03,Blodtransfusion op til 7 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA03
Blood transfusion as UC flare up,PROCDA,BOQA04,Blodtransfusion op til 9 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA04
Blood transfusion as UC flare up,PROCDA,BOQA05,Blodtransfusion over 9 liter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQA05
Blood transfusion as UC flare up,PROCDA,BOQB,Behandling med erytrocytter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB
Blood transfusion as UC flare up,PROCDA,BOQB0,Behandling med erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB0
Blood transfusion as UC flare up,PROCDA,BOQB00,Behandling med frosset- optøet erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB00
Blood transfusion as UC flare up,PROCDA,BOQB02,Behandling med bestrålet erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB02
Blood transfusion as UC flare up,PROCDA,BOQB1,Behandling med vasket erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB1
Blood transfusion as UC flare up,PROCDA,BOQB10,Behandling med vasket- bestrålet erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB10
Blood transfusion as UC flare up,PROCDA,BOQB2,Behandling med leukocytdepleteret (filtreret) erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB2
Blood transfusion as UC flare up,PROCDA,BOQB20,Behandling med leukocytdepleteret (filtreret)- bestrålet erytrocytsuspension,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB20
Blood transfusion as UC flare up,PROCDA,BOQB3,Behandling med andre erytrocytprodukter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB3
Blood transfusion as UC flare up,PROCDA,BOQB30,Behandling med erytrocytkoncentrat,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB30
Blood transfusion as UC flare up,PROCDA,BOQB7,Anden erytrocytbehandling,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB7
Blood transfusion as UC flare up,PROCDA,BOQB70,Erytrocytbehandling med fuldblod,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB70
Blood transfusion as UC flare up,PROCDA,BOQB71,Erytrocytbehandling med frisktappet fuldblod,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQB71
Blood transfusion as UC flare up,PROCDA,BOQC,Behandling med trombocytter,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC
Blood transfusion as UC flare up,PROCDA,BOQC0,Behandling med puljet trombocytkoncentrat,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC0
Blood transfusion as UC flare up,PROCDA,BOQC00,Behandling med bestrålet puljet trombocytkoncentrat,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC00
Blood transfusion as UC flare up,PROCDA,BOQC01,Behandling med leukocytdepleteret (filtreret) puljet trombocytkoncentrat,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC01
Blood transfusion as UC flare up,PROCDA,BOQC02,Behandling med leukocytdepleteret (filtreret) bestrålet puljet trombocytkoncentrat,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC02
Blood transfusion as UC flare up,PROCDA,BOQC1,Behandling med trombocytkoncentrat fra enkelt donor,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC1
Blood transfusion as UC flare up,PROCDA,BOQC10,Behandling med leukocytdepleteret (filtreret) trombocytkoncentrat fra enkelt donor,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC10
Blood transfusion as UC flare up,PROCDA,BOQC11,Behandling med bestrålet trombocytkoncentrat fra enkelt donor,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC11
Blood transfusion as UC flare up,PROCDA,BOQC12,Behandling med leukocytdepleteret (filtreret) bestrålet trombocytkoncentrat fra enkelt donor,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC12
Blood transfusion as UC flare up,PROCDA,BOQC2,Behandling med trombocytkoncentrat fremstillet på celleseparator,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC2
Blood transfusion as UC flare up,PROCDA,BOQC20,Behandling med leukocytdepleteret (filtreret) trombocytkoncentrat fremstillet på celleseparator,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC20
Blood transfusion as UC flare up,PROCDA,BOQC21,Behandling med bestrålet trombocytkoncentrat fremstillet på celleseparator,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC21
Blood transfusion as UC flare up,PROCDA,BOQC22,Behandling med leukocytdepleteret (filtreret) bestrålet trom-bocytkoncentrat fremstillet på celleseparator,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC22
Blood transfusion as UC flare up,PROCDA,BOQC3,Behandling med andet trombocytprodukt,,,narrow,TP,BLOODTRANSFUSIONUC,AESI,BOQC3
Blood transfusion as UC flare up,SCTSPA,104075000,servicio de medicina transfusional,C0587607,Transfusion medicine service,possible,TP,BLOODTRANSFUSIONUC,AESI,104075000
Blood transfusion as UC flare up,SCTSPA,116859006,transfusión de hemoderivado,C0005841,Blood Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116859006
Blood transfusion as UC flare up,SCTSPA,116863004,transfusión de eritrocitos,C0086252,Red Blood Cell Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116863004
Blood transfusion as UC flare up,SCTSPA,12719002,transfusión de plaquetas,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,12719002
Blood transfusion as UC flare up,SCTSPA,180208003,transfusión intravenosa de plaquetas,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,180208003
Blood transfusion as UC flare up,SCTSPA,54790000,transfusión de un componente sanguíneo,C0085430,Blood Component Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,54790000
Blood transfusion as UC flare up,SNOMEDCT_US,104075000,Transfusion medicine service,C0587607,Transfusion medicine service,possible,TP,BLOODTRANSFUSIONUC,AESI,104075000
Blood transfusion as UC flare up,SNOMEDCT_US,116859006,Transfusion of blood product,C0005841,Blood Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116859006
Blood transfusion as UC flare up,SNOMEDCT_US,116863004,Transfusion of red blood cells,C0086252,Red Blood Cell Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,116863004
Blood transfusion as UC flare up,SNOMEDCT_US,12719002,Platelet transfusion,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,12719002
Blood transfusion as UC flare up,SNOMEDCT_US,180208003,Intravenous blood transfusion of platelets,C0086818,Platelet Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,180208003
Blood transfusion as UC flare up,SNOMEDCT_US,54790000,Transfusion of blood component,C0085430,Blood Component Transfusion,narrow,TP,BLOODTRANSFUSIONUC,AESI,54790000
Colectomy in Ulcerative colitis,CCAM,HHFA004,Total colectomy with preservation of the rectum- with ileorectal anastomosis- by laparoscopy or by laparotomy with laparoscopic preparation,,,narrow,TP,COLECTOMY,AESI,HHFA004
Colectomy in Ulcerative colitis,CCAM,HHFA005,Total colectomy with preservation of the rectum- without restoration of continuity- by laparoscopy or by laparotomy with laparoscopic preparation,,,narrow,TP,COLECTOMY,AESI,HHFA005
Colectomy in Ulcerative colitis,CCAM,HHFA021,Total colectomy with preservation of the rectum- without restoration of continuity- by laparoscopy or by laparotomy with laparoscopic preparation,,,narrow,TP,COLECTOMY,AESI,HHFA021
Colectomy in Ulcerative colitis,ICD10PCS,0DTK0ZZ,Resection of Ascending Colon- Open Approach,C2409595,Resection of Ascending Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DT.K0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTK4ZZ,Resection of Ascending Colon- Percutaneous Endoscopic Approach,C2409597,Resection of Ascending Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DT.K4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTK7ZZ,Resection of Ascending Colon- Via Natural or Artificial Opening,C2409598,Resection of Ascending Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DT.K7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTK8ZZ,Resection of Ascending Colon- Via Natural or Artificial Opening Endoscopic,C2409599,Resection of Ascending Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DT.K8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTL0ZZ,Resection of Transverse Colon- Open Approach,C2409600,Resection of Transverse Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DT.L0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTL4ZZ,Resection of Transverse Colon- Percutaneous Endoscopic Approach,C2409602,Resection of Transverse Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DT.L4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTL7ZZ,Resection of Transverse Colon- Via Natural or Artificial Opening,C2409603,Resection of Transverse Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DT.L7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTL8ZZ,Resection of Transverse Colon- Via Natural or Artificial Opening Endoscopic,C2409604,Resection of Transverse Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DT.L8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTLFZZ,Resection of Transverse Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498031,Resection of Transverse Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DT.LFZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTM0ZZ,Resection of Descending Colon- Open Approach,C2409605,Resection of Descending Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DT.M0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTM4ZZ,Resection of Descending Colon- Percutaneous Endoscopic Approach,C2409607,Resection of Descending Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DT.M4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTM7ZZ,Resection of Descending Colon- Via Natural or Artificial Opening,C2409608,Resection of Descending Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DT.M7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTM8ZZ,Resection of Descending Colon- Via Natural or Artificial Opening Endoscopic,C2409609,Resection of Descending Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DT.M8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTMFZZ,Resection of Descending Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498034,Resection of Descending Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DT.MFZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTN0ZZ,Resection of Sigmoid Colon- Open Approach,C2409610,Resection of Sigmoid Colon- Open Approach,narrow,TP,COLECTOMY,AESI,0DT.N0ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTN4ZZ,Resection of Sigmoid Colon- Percutaneous Endoscopic Approach,C2409612,Resection of Sigmoid Colon- Percutaneous Endoscopic Approach,narrow,TP,COLECTOMY,AESI,0DT.N4ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTN7ZZ,Resection of Sigmoid Colon- Via Natural or Artificial Opening,C2409613,Resection of Sigmoid Colon- Via Natural or Artificial Opening,narrow,TP,COLECTOMY,AESI,0DT.N7ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTN8ZZ,Resection of Sigmoid Colon- Via Natural or Artificial Opening Endoscopic,C2409614,Resection of Sigmoid Colon- Via Natural or Artificial Opening Endoscopic,narrow,TP,COLECTOMY,AESI,0DT.N8ZZ
Colectomy in Ulcerative colitis,ICD10PCS,0DTNFZZ,Resection of Sigmoid Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,C4498037,Resection of Sigmoid Colon- Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance,narrow,TP,COLECTOMY,AESI,0DT.NFZZ
Colectomy in Ulcerative colitis,MEDCODEID,1221533013,Other right hemicolectomy,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,1221533013
Colectomy in Ulcerative colitis,MEDCODEID,1221534019,Other colectomy,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,1221534019
Colectomy in Ulcerative colitis,MEDCODEID,1225014019,Total excision of colon,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,1225014019
Colectomy in Ulcerative colitis,MEDCODEID,1225143013,Excision of transverse colon,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,1225143013
Colectomy in Ulcerative colitis,MEDCODEID,137056018,Left hemicolectomy,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,137056018
Colectomy in Ulcerative colitis,MEDCODEID,191811000006117,Rankin partial colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,191811000006117
Colectomy in Ulcerative colitis,MEDCODEID,269614017,Proctocolectomy NEC,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,269614017
Colectomy in Ulcerative colitis,MEDCODEID,269615016,Other specified total excision of colon and rectum,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,269615016
Colectomy in Ulcerative colitis,MEDCODEID,269617012,Total excision of colon and rectum NOS,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,269617012
Colectomy in Ulcerative colitis,MEDCODEID,269623019,Other specified total excision of colon,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,269623019
Colectomy in Ulcerative colitis,MEDCODEID,269624013,Total excision of colon NOS,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,269624013
Colectomy in Ulcerative colitis,MEDCODEID,269634016,Right colectomy,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,269634016
Colectomy in Ulcerative colitis,MEDCODEID,269641010,Other specified other excision of right hemicolon,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,269641010
Colectomy in Ulcerative colitis,MEDCODEID,269642015,Other excision of right hemicolon NOS,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,269642015
Colectomy in Ulcerative colitis,MEDCODEID,269649012,Other specified excision of transverse colon,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,269649012
Colectomy in Ulcerative colitis,MEDCODEID,269650012,Excision of transverse colon NOS,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,269650012
Colectomy in Ulcerative colitis,MEDCODEID,269657010,Other specified excision of left hemicolon,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,269657010
Colectomy in Ulcerative colitis,MEDCODEID,269658017,Excision of left hemicolon NOS,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,269658017
Colectomy in Ulcerative colitis,MEDCODEID,269667017,Other excision of colon,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,269667017
Colectomy in Ulcerative colitis,MEDCODEID,269670018,Colectomy and anastomosis NEC,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,269670018
Colectomy in Ulcerative colitis,MEDCODEID,269677015,Partial colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,269677015
Colectomy in Ulcerative colitis,MEDCODEID,269678013,Other specified other excision of colon,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,269678013
Colectomy in Ulcerative colitis,MEDCODEID,269685012,Excision of lesion of colon NEC,C0192869,Excision of lesion of colon,narrow,TP,COLECTOMY,AESI,269685012
Colectomy in Ulcerative colitis,MEDCODEID,2922561000006117,Total removal of colon,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,2922561000006117
Colectomy in Ulcerative colitis,MEDCODEID,2931161000006115,Resection of transverse colon,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,2931161000006115
Colectomy in Ulcerative colitis,MEDCODEID,3194261000006111,Subtotal colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,3194261000006111
Colectomy in Ulcerative colitis,MEDCODEID,3194281000006118,Segmental colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,3194281000006118
Colectomy in Ulcerative colitis,MEDCODEID,352722017,Partial resection of colon,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,352722017
Colectomy in Ulcerative colitis,MEDCODEID,352723010,Colectomy,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,352723010
Colectomy in Ulcerative colitis,MEDCODEID,354911000000115,Subtotal excision of colon,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,354911000000115
Colectomy in Ulcerative colitis,MEDCODEID,375591000000118,Other specified subtotal excision of colon,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,375591000000118
Colectomy in Ulcerative colitis,MEDCODEID,375611000000114,Subtotal excision of colon NOS,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,375611000000114
Colectomy in Ulcerative colitis,MEDCODEID,3843931000006113,Left colectomy,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,3843931000006113
Colectomy in Ulcerative colitis,MEDCODEID,3843941000006115,Resection of descending colon,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,3843941000006115
Colectomy in Ulcerative colitis,MEDCODEID,394172019,Colectomy and exteriorisation of bowel NEC,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,394172019
Colectomy in Ulcerative colitis,MEDCODEID,394174018,Other excision of colon NOS,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,394174018
Colectomy in Ulcerative colitis,MEDCODEID,412239016,Ileocolic resection,C1280902,Ileocolic resection,narrow,TP,COLECTOMY,AESI,412239016
Colectomy in Ulcerative colitis,MEDCODEID,44200018,Total colectomy,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,44200018
Colectomy in Ulcerative colitis,MEDCODEID,45041010,Transverse colectomy,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,45041010
Colectomy in Ulcerative colitis,MEDCODEID,482551000000117,Excision of lesion of colon,C0192869,Excision of lesion of colon,narrow,TP,COLECTOMY,AESI,482551000000117
Colectomy in Ulcerative colitis,MEDCODEID,485291000006112,Anterior resection of rectum with stapled anastomosis of sigmoid colon to anus with creation of J pouch,C0729753,Anterior resection of rectum with stapled anastomosis of sigmoid colon to anus with creation of J pouch,narrow,TP,COLECTOMY,AESI,485291000006112
Colectomy in Ulcerative colitis,MEDCODEID,486451000006110,Anterior resection of rectum and anastomosis of colon to rectum using staples,C0400192,Anterior resection of rectum and anastomosis of colon to rectum using staples,narrow,TP,COLECTOMY,AESI,486451000006110
Colectomy in Ulcerative colitis,MEDCODEID,505179012,Excision of left hemicolon,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,505179012
Colectomy in Ulcerative colitis,MEDCODEID,5582111000006112,Ileocolectomy,C1280902,Ileocolic resection,narrow,TP,COLECTOMY,AESI,5582111000006112
Colectomy in Ulcerative colitis,MEDCODEID,571961000006111,Colectomy and end to end anastomosis of colon to colon NEC,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,571961000006111
Colectomy in Ulcerative colitis,MEDCODEID,571991000006115,Colectomy and side to side anastomosis of ileum to colon NEC,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,571991000006115
Colectomy in Ulcerative colitis,MEDCODEID,5897151000006114,Snare resection of lesion of colon,C0578387,Snare resection of lesion of colon,narrow,TP,COLECTOMY,AESI,5897151000006114
Colectomy in Ulcerative colitis,MEDCODEID,6203741000006114,Right hemicolectomy,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,6203741000006114
Colectomy in Ulcerative colitis,MEDCODEID,7289051000006112,Partial resection of colon and resection of terminal ileum with ileocolic anastomosis,C2733466,Excision of part of colon and excision of terminal ileum with ileocolic anastomosis,narrow,TP,COLECTOMY,AESI,7289051000006112
Colectomy in Ulcerative colitis,MEDCODEID,863561000006114,Partial colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,863561000006114
Colectomy in Ulcerative colitis,MEDCODEID,97301000006110,Proctocolectomy,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,97301000006110
Colectomy in Ulcerative colitis,MEDCODEID,98111000006114,Total proctocolectomy,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,98111000006114
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB53,Resektion af venstre fleksur MODIFIED,,,narrow,TP,COLECTOMY,AESI,KJFB53
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB 53,Resektion af venstre fleksur,,,narrow,TP,COLECTOMY,AESI,KJFB 53
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB54,Laparoskopisk resektion af venstre fleksur MODIFIED,,,narrow,TP,COLECTOMY,AESI,KJFB54
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB 54,Laparoskopisk resektion af venstre fleksur,,,narrow,TP,COLECTOMY,AESI,KJFB 54
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB20,Ileocækal resektion [Ileocaecal resection],,,narrow,TP,COLECTOMY,AESI,KJFB20
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB21,Laparoskopisk ileocækal resektion [Laparoscopic ileocaecal resection],,,narrow,TP,COLECTOMY,AESI,KJFB21
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB30,Højresidig hemikolektomi [Right hemicolectomy],,,narrow,TP,COLECTOMY,AESI,KJFB30
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB30A,Udvidet højresidig hemikolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB30A
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB30B,Subtotal kolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB30B
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB31,Laparoskopisk højresidig hemikolektomi [Laparoscopic right hemicolectomy],,,narrow,TP,COLECTOMY,AESI,KJFB31
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB31A,Laparoskopisk udvidet højresidig hemikolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB31A
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB31B,Laparoskopisk subtotal kolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB31B
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB33,Anden samtidig resektion af tyndtarm og tyktarm [Other resection comprising small intestine and colon],,,narrow,TP,COLECTOMY,AESI,KJFB33
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB34,Anden laparoskopisk samtidig resektion af tyndtarm og tyktarm [Other laparoscopic resection comprising small intestine and colon],,,narrow,TP,COLECTOMY,AESI,KJFB34
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB40,Resektion af colon transversum [Resection of transverse colon],,,narrow,TP,COLECTOMY,AESI,KJFB40
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB41,Laparoskopisk resektion af colon transversum [Laparoscopic resection of transverse colon],,,narrow,TP,COLECTOMY,AESI,KJFB41
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB43,Venstresidig hemikolektomi [Left hemicolectomy],,,narrow,TP,COLECTOMY,AESI,KJFB43
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB44,Laparoskopisk venstresidig hemikolektomi [Laparoscopic left hemicolectomy],,,narrow,TP,COLECTOMY,AESI,KJFB44
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB46,Resektion af colon sigmoideum [Resection of sigmoid colon],,,narrow,TP,COLECTOMY,AESI,KJFB46
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB47,Laparoskopisk resektion af colon sigmoideum [Laparoscopic resection of sigmoid colon],,,narrow,TP,COLECTOMY,AESI,KJFB47
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB50,Anden colonresektion [Other resection of colon],,,narrow,TP,COLECTOMY,AESI,KJFB50
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB51,Anden laparoskopisk colonresektion [Other laparoscopic resection of colon],,,narrow,TP,COLECTOMY,AESI,KJFB51
